City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,62.8,96,15,5.66,few clouds
1,Bella Vista,US,36.4295,-94.2316,77.61,76,0,4.61,clear sky
2,Provideniya,RU,64.3833,-173.3,50.36,81,0,11.18,clear sky
3,Ushuaia,AR,-54.8,-68.3,37.06,81,75,8.05,light intensity drizzle
4,Goderich,CA,43.7501,-81.7165,63.91,92,50,8.37,scattered clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,45.09,70,0,17.27,clear sky
6,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,75,75,6.91,broken clouds
7,Sapa,PH,5.1544,120.3241,83.28,72,100,4.52,overcast clouds
8,Albany,US,42.6001,-73.9662,70.88,77,26,6.42,scattered clouds
9,Bambous Virieux,MU,-20.3428,57.7575,66.22,81,91,14.63,light rain
10,Iqaluit,CA,63.7506,-68.5145,51.53,87,100,5.75,overcast clouds
11,Diffa,NE,13.3154,12.6113,85.06,53,66,15.39,broken clouds
12,Hovd,MN,48.0056,91.6419,73.26,31,100,4.56,overcast clouds
13,Qaanaaq,GL,77.484,-69.3632,39.72,80,100,3.11,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,44.47,98,100,7.65,light rain
15,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,4.61,broken clouds
16,Sinnamary,GF,5.3833,-52.95,78.08,84,91,5.37,overcast clouds
17,Koslan,RU,63.4564,48.8989,69.04,70,12,5.44,few clouds
18,Roald,NO,62.5833,6.1333,58.12,62,100,16.11,overcast clouds
19,Uri,IN,34.0833,74.0333,76.6,74,26,1.97,moderate rain
20,Charters Towers,AU,-20.1,146.2667,65.28,29,0,13.85,clear sky
21,Carnarvon,AU,-24.8667,113.6333,72.25,59,4,11.03,clear sky
22,Saldanha,ZA,-33.0117,17.9442,52.72,81,0,5.41,clear sky
23,Lebu,CL,-37.6167,-73.65,47.57,68,100,5.84,overcast clouds
24,Kapoeta,SS,4.7717,33.5903,75.24,50,75,15.84,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,58.57,52,0,10.2,clear sky
26,Hithadhoo,MV,-0.6,73.0833,83.61,72,55,13.24,broken clouds
27,Hirara,JP,24.8,125.2833,85.42,72,97,5.21,overcast clouds
28,Sao Felix Do Xingu,BR,-6.6447,-51.995,78.93,50,94,2.06,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,37.11,93,100,14.32,moderate rain
30,Barrow,US,71.2906,-156.7887,39.22,87,100,10.36,overcast clouds
31,Nhulunbuy,AU,-12.2333,136.7667,77.61,53,0,18.41,clear sky
32,Busselton,AU,-33.65,115.3333,59.29,65,7,9.46,clear sky
33,Georgetown,MY,5.4112,100.3354,82.89,87,20,0.0,few clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,11,5.99,few clouds
35,Mehamn,NO,71.0357,27.8492,66.15,68,0,12.66,clear sky
36,Lavrentiya,RU,65.5833,-171.0,54.21,70,100,6.96,overcast clouds
37,Manaure,CO,11.7751,-72.4445,81.3,75,33,24.05,scattered clouds
38,Nizwa,OM,22.9333,57.5333,86.11,63,99,0.36,overcast clouds
39,Rikitea,PF,-23.1203,-134.9692,75.18,73,41,10.71,scattered clouds
40,Ambilobe,MG,-13.2,49.05,67.3,79,5,4.12,clear sky
41,Bredasdorp,ZA,-34.5322,20.0403,46.06,89,1,6.22,clear sky
42,Butaritari,KI,3.0707,172.7902,82.33,72,100,17.07,overcast clouds
43,Port-Gentil,GA,-0.7193,8.7815,72.34,83,97,11.05,overcast clouds
44,Narsaq,GL,60.9167,-46.05,46.62,81,12,1.19,few clouds
45,Orbetello,IT,42.4408,11.2196,70.2,74,1,4.68,clear sky
46,Lagoa,PT,39.05,-27.9833,68.77,93,100,9.48,overcast clouds
47,Kalmunai,LK,7.4167,81.8167,84.79,52,74,9.78,broken clouds
48,Atuona,PF,-9.8,-139.0333,78.01,79,23,20.0,few clouds
49,Hobyo,SO,5.3505,48.5268,75.79,71,41,18.59,scattered clouds
50,Cockburn Town,TC,21.4612,-71.1419,81.5,84,10,17.16,clear sky
51,Fairbanks,US,64.8378,-147.7164,78.93,41,40,5.75,smoke
52,Cabo San Lucas,MX,22.8909,-109.9124,83.61,68,0,10.94,clear sky
53,Christchurch,NZ,-43.5333,172.6333,59.2,55,100,8.05,overcast clouds
54,Alugan,PH,12.2188,125.4808,84.07,76,73,3.29,broken clouds
55,Torbay,CA,47.6666,-52.7314,56.26,92,4,9.48,clear sky
56,Matara,LK,5.9485,80.5353,82.22,73,78,14.25,broken clouds
57,Calvinia,ZA,-31.4707,19.776,44.37,54,0,3.24,clear sky
58,Ketchikan,US,55.3422,-131.6461,55.38,94,100,9.22,light rain
59,Khatanga,RU,71.9667,102.5,38.59,86,100,9.48,light rain
60,West Odessa,US,31.8424,-102.4988,89.01,42,56,15.86,broken clouds
61,Ancud,CL,-41.8697,-73.8203,40.23,76,55,7.96,light rain
62,Pevek,RU,69.7008,170.3133,34.09,95,100,15.3,overcast clouds
63,Vanimo,PG,-2.6741,141.3028,87.44,59,74,5.75,broken clouds
64,Olafsvik,IS,64.8945,-23.7142,46.89,71,24,7.83,few clouds
65,Tubuala,PA,9.5167,-79.0333,78.08,87,100,6.02,overcast clouds
66,Guerrero Negro,MX,27.9769,-114.0611,65.98,85,23,14.03,few clouds
67,Tasiilaq,GL,65.6145,-37.6368,41.16,81,99,4.92,overcast clouds
68,Sosva,RU,59.1766,61.8558,71.8,74,96,6.69,overcast clouds
69,Manavalakurichi,IN,8.1333,77.3,80.28,80,100,17.76,overcast clouds
70,Rimbey,CA,52.6334,-114.2353,68.27,82,0,9.8,clear sky
71,Timizart,DZ,36.8,4.2667,72.12,71,0,2.66,clear sky
72,Pucara,PE,-15.9803,-71.4606,36.23,40,15,0.65,few clouds
73,Ulladulla,AU,-35.35,150.4667,55.71,59,78,9.69,broken clouds
74,Severo-Kurilsk,RU,50.6789,156.125,56.14,90,66,1.39,broken clouds
75,Cidreira,BR,-30.1811,-50.2056,49.93,77,50,5.53,scattered clouds
76,Yellowknife,CA,62.456,-114.3525,70.32,52,75,4.61,broken clouds
77,Northam,GB,51.0333,-4.2167,63.61,93,49,5.44,scattered clouds
78,Teahupoo,PF,-17.8333,-149.2667,66.16,79,82,14.34,light rain
79,Gallup,US,35.5281,-108.7426,72.36,50,100,9.22,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,36.79,94,100,10.33,overcast clouds
81,Dikson,RU,73.5069,80.5464,40.14,84,13,3.27,few clouds
82,Codrington,AU,-38.2667,141.9667,54.7,59,20,12.46,few clouds
83,Kodiak,US,57.79,-152.4072,54.91,88,100,10.36,overcast clouds
84,Nantucket,US,41.2835,-70.0995,73.99,94,0,14.97,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,70.05,92,95,8.41,overcast clouds
86,Taoudenni,ML,22.6783,-3.9836,98.49,18,70,6.67,broken clouds
87,Kapaa,US,22.0752,-159.319,84.18,77,40,16.11,scattered clouds
88,La Ronge,CA,55.1001,-105.2842,64.99,54,0,6.85,clear sky
89,Tiksi,RU,71.6872,128.8694,36.66,92,100,7.54,overcast clouds
90,Bluff,NZ,-46.6,168.3333,44.8,92,100,21.21,light rain
91,Klaksvik,FO,62.2266,-6.589,50.92,93,100,22.12,light rain
92,Upernavik,GL,72.7868,-56.1549,42.31,84,99,4.38,overcast clouds
93,Naze,JP,28.3667,129.4833,83.5,75,99,8.48,overcast clouds
94,Hobart,AU,-42.8794,147.3294,51.06,76,75,6.91,broken clouds
95,Abu Samrah,SY,35.3029,37.1841,71.96,71,0,8.14,clear sky
96,Kralendijk,BQ,12.15,-68.2667,82.38,83,82,16.11,broken clouds
97,Berlevag,NO,70.8578,29.0864,66.2,68,100,14.97,overcast clouds
98,Inongo,CD,-1.95,18.2667,69.1,57,44,4.9,scattered clouds
99,Shimoda,JP,34.6667,138.95,75.11,85,65,4.7,broken clouds
100,Clyde River,CA,70.4692,-68.5914,37.38,90,56,5.3,broken clouds
101,Ponta Do Sol,PT,32.6667,-17.1,67.71,67,30,3.98,scattered clouds
102,Fomboni,KM,-12.28,43.7425,77.38,73,45,18.88,scattered clouds
103,Vaini,TO,-21.2,-175.2,78.96,83,20,8.05,few clouds
104,Alofi,NU,-19.0595,-169.9187,78.69,78,75,14.97,broken clouds
105,Esperance,AU,-33.8667,121.9,61.03,47,0,10.6,clear sky
106,Jamestown,US,42.097,-79.2353,69.71,80,1,1.99,clear sky
107,Sampit,ID,-2.5333,112.95,84.81,73,50,2.35,light rain
108,Inhambane,MZ,-23.865,35.3833,66.61,75,0,4.81,clear sky
109,Omboue,GA,-1.5746,9.2618,70.43,89,80,4.97,broken clouds
110,Zhigansk,RU,66.7697,123.3711,69.46,56,31,8.1,scattered clouds
111,East London,ZA,-33.0153,27.9116,57.7,45,0,5.08,clear sky
112,Hermanus,ZA,-34.4187,19.2345,52.41,80,1,12.41,clear sky
113,Kruisfontein,ZA,-34.0033,24.7314,50.18,53,0,7.96,clear sky
114,Ust-Tsilma,RU,65.441,52.1498,75.27,59,3,4.12,clear sky
115,Burnie,AU,-41.0667,145.9167,55.92,50,8,0.89,clear sky
116,Paamiut,GL,61.994,-49.6678,41.9,92,89,12.19,overcast clouds
117,Kapit,MY,2.0167,112.9333,75.63,95,100,0.96,overcast clouds
118,Kaitangata,NZ,-46.2817,169.8464,42.78,96,100,14.41,moderate rain
119,Montgomery,US,39.1501,-77.1997,71.46,94,0,3.44,clear sky
120,Itaituba,BR,-4.2761,-55.9836,77.97,71,84,1.68,broken clouds
121,Portland,US,45.5234,-122.6762,82.22,54,20,14.97,few clouds
122,Lorengau,PG,-2.0226,147.2712,85.41,68,28,10.4,scattered clouds
123,Saint-Philippe,RE,-21.3585,55.7679,65.79,73,46,10.45,scattered clouds
124,Hilo,US,19.7297,-155.09,86.29,88,36,7.0,scattered clouds
125,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,40,8.05,scattered clouds
126,Kahului,US,20.8947,-156.47,84.22,74,40,21.85,scattered clouds
127,Henties Bay,NA,-22.116,14.2845,54.73,90,0,6.26,clear sky
128,Kavieng,PG,-2.5744,150.7967,84.92,68,28,9.53,scattered clouds
129,Fortuna,US,40.5982,-124.1573,59.86,86,87,3.0,overcast clouds
130,Saint-Augustin,CA,51.226,-58.6502,58.01,70,98,19.46,overcast clouds
131,Cape Town,ZA,-33.9258,18.4232,55.38,87,40,10.36,scattered clouds
132,Maceio,BR,-9.6658,-35.7353,72.84,94,75,5.75,broken clouds
133,Kavaratti,IN,10.5669,72.642,81.27,80,100,19.01,overcast clouds
134,General Pico,AR,-35.6566,-63.7568,48.65,33,100,16.28,overcast clouds
135,Disna,BY,55.568,28.1971,54.16,93,99,12.86,overcast clouds
136,Varhaug,NO,58.6147,5.6457,57.88,93,86,4.12,overcast clouds
137,Arraial Do Cabo,BR,-22.9661,-42.0278,70.65,89,29,19.44,scattered clouds
138,Homer,US,59.6425,-151.5483,62.04,67,100,4.0,overcast clouds
139,Marsabit,KE,2.3284,37.9899,57.67,75,38,16.22,scattered clouds
140,Challapata,BO,-18.9,-66.7667,39.07,26,3,1.57,clear sky
141,Ahipara,NZ,-35.1667,173.1667,59.67,78,100,13.31,overcast clouds
142,San Cristobal,VE,7.7669,-72.225,73.58,98,83,4.09,broken clouds
143,Shetpe,KZ,44.1667,52.1167,87.06,25,39,8.68,scattered clouds
144,San Juan,AR,-31.5375,-68.5364,47.8,29,0,2.21,clear sky
145,Bharatpur,IN,27.2167,77.4833,95.14,45,17,8.34,few clouds
146,San Jose,US,37.3394,-121.895,74.98,65,20,12.66,few clouds
147,Cherskiy,RU,68.75,161.3,60.35,58,51,15.77,broken clouds
148,Tulum,MX,20.2167,-87.4667,80.29,83,100,6.33,overcast clouds
149,Bengkulu,ID,-3.8004,102.2655,79.23,79,100,2.91,overcast clouds
150,Ulaanbaatar,MN,47.9077,106.8832,68.13,52,20,4.47,few clouds
151,Saskylakh,RU,71.9167,114.0833,53.24,47,98,13.6,overcast clouds
152,Arman,RU,59.7,150.1667,80.02,81,51,7.4,broken clouds
153,Asyut,EG,27.181,31.1837,76.89,62,3,16.58,clear sky
154,Rorvik,NO,64.8621,11.2373,54.73,86,96,10.96,overcast clouds
155,Castro,BR,-24.7911,-50.0119,49.68,88,12,3.67,few clouds
156,Avarua,CK,-21.2078,-159.775,77.05,73,75,11.5,broken clouds
157,Bethel,US,41.3712,-73.414,77.49,87,75,3.44,broken clouds
158,Mahebourg,MU,-20.4081,57.7,66.25,81,83,15.75,light rain
159,Killybegs,IE,54.6333,-8.45,54.01,80,93,10.22,overcast clouds
160,Constitucion,CL,-35.3333,-72.4167,50.09,84,51,6.71,broken clouds
161,Santa Fe,AR,-31.6333,-60.7,46.99,77,0,7.0,light rain
162,Rosendal,NO,59.9867,6.0135,57.52,87,80,0.54,broken clouds
163,Vila Velha,BR,-20.3297,-40.2925,70.95,84,85,9.55,overcast clouds
164,Helong,CN,42.5397,128.9972,77.11,67,96,5.75,overcast clouds
165,Dingle,PH,10.9995,122.6711,86.77,70,96,8.75,overcast clouds
166,Egvekinot,RU,66.3167,-179.1667,42.66,97,100,3.0,light rain
167,Katsuura,JP,35.1333,140.3,77.02,88,83,5.68,light rain
168,Amarwara,IN,22.3,79.1667,77.18,82,100,7.85,overcast clouds
169,Port Hardy,CA,50.6996,-127.4199,57.15,79,49,11.86,scattered clouds
170,Coihaique,CL,-45.5752,-72.0662,31.95,86,0,5.75,clear sky
171,Amga,RU,60.8953,131.9608,75.94,61,88,2.93,overcast clouds
172,La Primavera,CO,5.4906,-70.4092,74.1,94,88,7.63,overcast clouds
173,New Norfolk,AU,-42.7826,147.0587,49.71,61,19,2.93,few clouds
174,Chokurdakh,RU,70.6333,147.9167,52.54,71,100,7.76,overcast clouds
175,Ilebo,CD,-4.3167,20.5833,68.54,47,1,1.66,clear sky
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.72,87,36,12.86,scattered clouds
177,Opuwo,NA,-18.0607,13.84,58.28,40,0,7.38,clear sky
178,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,70.54,77,94,4.0,light rain
179,Tarata,BO,-17.6167,-66.0167,58.08,77,56,3.91,broken clouds
180,Laguna,US,38.421,-121.4238,88.43,46,0,10.36,clear sky
181,Naryan-Mar,RU,67.6713,53.087,71.64,69,35,5.88,scattered clouds
182,Dunedin,NZ,-45.8742,170.5036,43.27,95,100,21.63,light rain
183,Strezhevoy,RU,60.7333,77.5889,63.32,47,85,9.93,overcast clouds
184,San Quintin,MX,30.4833,-115.95,65.43,81,83,12.93,broken clouds
185,Bay Roberts,CA,47.5999,-53.2648,55.06,92,3,1.99,clear sky
186,Mount Gambier,AU,-37.8333,140.7667,53.2,62,78,4.85,broken clouds
187,Karwar,IN,14.8,74.1333,78.44,86,100,19.69,moderate rain
188,Beringovskiy,RU,63.05,179.3167,62.92,66,57,9.51,light rain
189,Saint-Joseph,RE,-21.3667,55.6167,64.78,72,26,11.56,scattered clouds
190,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,73,0,17.9,clear sky
191,Turbat,PK,26.0023,63.044,84.45,80,57,4.65,broken clouds
192,Stromness,GB,58.965,-3.296,52.88,83,99,20.0,overcast clouds
193,Paoua,CF,7.2427,16.4406,69.03,82,100,2.26,overcast clouds
194,Corn Island,NI,12.1694,-83.0418,80.73,84,100,19.75,overcast clouds
195,Faanui,PF,-16.4833,-151.75,78.82,67,0,6.73,clear sky
196,Vostok,RU,46.4856,135.8833,76.6,65,60,0.96,broken clouds
197,Lasa,IT,46.6166,10.7002,57.36,62,12,3.56,few clouds
198,Chifeng,CN,42.2683,118.9636,90.07,32,16,7.9,few clouds
199,Lagos,NG,6.5833,3.75,74.39,91,97,4.38,light rain
200,Flinders,AU,-34.5833,150.8552,59.18,66,79,8.01,light rain
201,Sinop,TR,41.7711,34.8709,57.74,81,23,1.88,few clouds
202,Hasaki,JP,35.7333,140.8333,77.4,92,100,7.52,overcast clouds
203,Bolshoye Murashkino,RU,55.7826,44.7754,64.6,90,43,5.64,scattered clouds
204,Thompson,CA,55.7435,-97.8558,65.26,40,44,5.26,scattered clouds
205,Mandera,KE,3.9366,41.867,73.63,53,79,19.3,broken clouds
206,Ati,TD,13.2154,18.3353,79.93,68,99,14.74,overcast clouds
207,San Rafael,AR,-34.6177,-68.3301,47.25,37,0,9.37,clear sky
208,Kitchener,CA,43.4254,-80.5112,57.36,96,30,7.07,scattered clouds
209,Lazaro Cardenas,MX,17.9583,-102.2,80.73,81,61,6.22,broken clouds
210,Belmonte,BR,-15.8631,-38.8828,71.06,75,40,3.8,scattered clouds
211,Andenes,NO,69.3143,16.1194,59.94,88,75,8.05,drizzle
212,Bondoukou,CI,8.0333,-2.8,70.07,98,97,6.31,overcast clouds
213,Empalme,MX,27.9667,-110.8167,88.05,67,11,8.23,few clouds
214,Karratha,AU,-20.7377,116.8463,73.72,29,4,18.23,clear sky
215,Aragarcas,BR,-15.8975,-52.2508,67.05,55,30,2.55,scattered clouds
216,Singaraja,ID,-8.112,115.0882,83.23,69,51,2.89,broken clouds
217,Diego De Almagro,CL,-26.3667,-70.05,50.09,42,0,0.74,clear sky
218,Linden,GY,6.0,-58.3,72.77,99,49,2.3,scattered clouds
219,Coos Bay,US,43.3665,-124.2179,64.31,88,100,14.97,overcast clouds
220,Louis Trichardt,ZA,-23.0439,29.9032,51.6,90,1,4.25,clear sky
221,Poum,NC,-20.2333,164.0167,77.47,84,72,17.56,broken clouds
222,Pemangkat,ID,1.1667,108.9667,78.94,84,100,11.05,light rain
